"condición catalogada","síntomas o frases relacionadas"
"ciática","dolor que baja por la pierna, nervio inflamado, ardor lumbar"
"dolor de cabeza","presión en la frente o sienes, punzadas, molestia con luz"
"dolor de espalda","molestia en la zona lumbar, no puedo agacharme, tensión muscular"
"dolor de rodilla","molestia al subir escaleras, rodilla inflamada o que truena"
"cálculos biliares","dolor agudo después de comer grasa, vómitos, dolor bajo las costillas derechas"
"cálculos renales","dolor al orinar, punzadas en la espalda baja, sangre en la orina"
"cirrosis","piel amarilla, abdomen hinchado, cansancio extremo, vómito con sangre"
"hepatitis","ojos amarillos, orina oscura, dolor en el hígado, cansancio extremo"
"sistitis","dolor al orinar, ganas frecuentes, ardor al ir al baño"
"cáncer","bultos, pérdida de peso repentina, sangrado inexplicable"
"falta de erección","no puedo mantener la erección, impotencia, bajo deseo sexual"
"halitosis","mal aliento, boca seca, sabor metálico persistente"
"infecciones","fiebre, enrojecimiento, pus, inflamación local"
"inflamación","enrojecimiento, zona caliente o hinchada, dolor localizado"
"tabaquismo","tos crónica, dificultad para respirar, adicción al cigarro"
