Producto,Descripcion,Presentacion,Precio,Costo,Forma de uso,Ingredientes,1er. Ingrediente principal,2.do Ingrediente principal,3er. Ingrediente principal,Recomendado para
ORIGEN CAFE,Tomar cafe tambien es una tendencia ecologica ya que su cereza lleva un proceso mAs natural y potencializa sus beneficios pues es 2 veces mAs antioxidante que el de mesa. AdemAs de ayudar a quemar grasa disminuir los niveles de glucosa y colesterol en la sangre. Gracias a los beneficios de sus ingredientes promueve la longevidad.,1Kg,1459,729.5,Disolver 8g en 250 ml de agua fria o caliente tomarlo por la mañana o noche.,Cereza de cafe Cocoa Te verde Noni Maitake Chaga Shitake Goji Vitamina A Vitamina B3 Vitamina C.,1.- Ganoderma: Es un hongo saludable utilizado en la medicina tradicional china para promover la longevidad prevenir el cancer tiene un efecto hepAtico protector. , 2.- Cereza de cafe: Conocida por tener dos veces mAs nutrientes que solamente la semilla de cafe. Contiene antioxidantes que optimizan a funcion de los organos. , 3.- Reichi: Contiene una gran cantidad de Acidos alcaloides naturales que ayudan a nuestro cuerpo a mejorar el desgaste fisico y mental.,BOCIO  CANCER  CANSANCIO MENTAL  CALCULOS RENALES  DEPRESIoN  FALTA DE ERECCIoN  IMPOTENCIA  VIRUS VITILIGO
MY BIO-NCO,Sus principales ingredientes tienen una funcion antiviral antitumoral antirreumatica lo que impide la implantacion de celulas cancerigenas tumores quistes y miomas; trabaja en la degradacion de los mismos y hace mAs resistente al sistema inmune ademAs de controlar alergias.,Bolsa con 250gr,589,294.5,Disolver 5g en 250ml de agua fria o caliente tomarlo por la noche o por la mañana. No exceda la dosis recomendada.,Stevia Moringa Cancerina Cardo bendito Semilla de uva Guanabana Noni Yca Tamarillo Menta en polvo.,1.- Tamarillo: AdemAs de ayudar a nuestra belleza juventud e incluso a perder peso protege el organismo de la contaminacion y de los efectos del tabaco. Mejora la circulacion y purifica la sangre. , 2.- Guanabana: Alto contenido en vitaminas minerales y antioxidantes. EstA comprobado que el jugo de Guanabana ayuda a combatir el cancer especialmente el de mama Colon prostata y pulmones. , 3.- Semilla de Uva: Es un excelente antioxidante elimina las celulas muertas. Limpia y regenera la epidermis.,ALERGIA  ALZHAIMER  AMENORREA  AMIGDALITIS  APENDICITIS  ARTERIOESCLEROSIS  ARTRITIS  ASMA  BOCIO  BRONQUITIS  CANCER  CIRROSIS  CORONAVIRUS  CALCULOS BILIARES  CALCULOS RENALES  FALTA DE OXIGENACION  FIBROSIS  FIEBRE DEL HENO  FIEBRE REUMATICA  GOTA HEMORROIDES HERNIA HIATAL  HIPOTIROIDISMO  INFECCIONES  INFERTILIDAD FEMENINA  INFLUENZA  MENOPAUSIA  MIOMAS  OSTEOMIELITIS  OSTEOPOROSIS  PROSTATITIS  QUISTES  REUMATISMO  SISTITIS TABAQUISMO  TIROIDES  TRAUMATISMO  VIRUS
SUKER CAPS,Gracias a sus ingredientes. Suker capas regenera y desintoxica el higado pAncreas y vesicula. Es por eso que coadyuva en el tratamiento de enfermedades de la piel y ulceras estomacales. Las raices y tuberculos ayudan a contrarrestar la diabetes mellitus. AdemAs son antiinflamatorio y benefician en caso de dificultades reumAticas.,Frasco con 60 caps,429,214.5,Tomar una capsula al dia despues del desayuno.,GuayacAn amarillo Guarana Estearato de magnesio Perejil Xoconostle Neem Palo de arco Matarique.,1.- Perejil: Actua como diuretico antianemico y anticancerigeno. Limpia el sistema biliar y el sistema urinario. , 2.- Xoconostle: Fortalece el sistema inmune. Regula la circulacion y la reparacion de cartilago. Contribuye a la regeneracion de tendones ligamentos y piel. , 3.- Yaca: Es una buena fuente de antioxidantes que protege a nuestro organismo y elimina los radicales libres. Controla los niveles de presion arterial.,APENDICITIS  CIRROSIS  HEPATITIS HIGADO GRASO  HIGADO INTOXICADO  PRESIoN ALTA 
SUKER JUICE,Gracias a su formula amarga es excelente para combatir problemas mAs relacionados con el higado intoxicado. Se utiliza como auxiliar en el tratamiento de diabetes y regeneracion del pAncreas. Regula los niveles de colesterol y trigliceridos. Fortalece el sistema inmunologico biliar antibacteriano acelera la cicatrizacion interna y auxiliar en casos de cirrosis.,Frasco con 500ml,589,294.5,Diluir 15ml en 250 ml despues del desayuno,GuayacAn amarillo Guarana goma Xantana Perejil Yaca Guanabana Xoconostle Neem Palo de arco Matarique.,1.- Neem: Excelente antioxidante elimina toxinas y radicales libres causales del cancer. Limpia la sangre y protege el higado y riñones. , 2.- Perejil: Actua como diuretico antianemico y anticancerigeno. Limpia el sistema biliar y el sistema urinario. , 3.- Yaca: Es una buena fuente de antioxidantes que protege a nuestro organismo y elimina los radicales libres. Controla los niveles de presion arterial.,ACIDO URICO  ALCOHOLISMO  APENDICITIS  CIRROSIS  COLESTEROL  CALCULOS BILIARES  DERMATITIS  DIABETES  ECCEMAS Y HERPES FUEGOS LABIALES HALITOSIS  HEPATITIS HIGADO GRASO  HIGADO INTOXICADO  INFECCIONES  MANCHAS DEL SOL  PRESIoN ALTA  TABAQUISMO  TIFOIDEA 
SAVERA,Excelente en el problema de gastritis colitis estreñimiento y agruras. Es excelente cicatrizante en caso de ulceras gastricas. Protege la flora intestinal y previene el cAncer de Colon y diverticulosis. Reduce el colesterol la glucosa en la sangre (diabetes) y mejora la circulacion.,Frasco 1L ,589,294.5,Disolver 8g en 250 ml de agua tomarlo por la mañana antes del desayuno.,Magnes Vitamina B1 B2 B3 Vitamina A Goji Arandano Acai Piña Hierba del pollo Muitle Inulina de agrave.,1.- Hierba de poll: Depura la sangre de toda clase de impurezas; es digestiva diuretica descongestionante antiinflamatoria y actua contra malestares hepAticos problemas renales y denticion en niños. AdemAs coadyuva en tratamientos para heridas y hemorragias. , 2.- Piña: Contribuye a eliminar las toxinas a traves de la orina previene el estreñimiento y activa la absorcion de grasas. , 3.- Goji: Excelente antioxidante. Ayuda a regenerar celulas nuevas en nuestro cuerpo aumenta las defensas y aporta hierro y vitaminas.,ACIDEZ ESTOMACAL  ACIDO URICO  AGRURAS  AMENORREA  COLESTEROL  COLITIS DIABETES  DIARREA  DIGESTION PEREZOSA  DIVERTiCULOS  FIEBRE DEL HENO  GASTRITIS GOLPES HEMORROIDES HEPATITIS HERNIA HIATAL  HIGADO GRASO  HIGADO INTOXICADO  INDIGESTION  INFLAMACION  OBESIDAD  PRESIoN ALTA  TIROIDES 
MY GS-TREL CAPS,El sistema digestivo es el encargado de transformar los alimentos para que las celulas del organismo absorban los nutrientes y los usen como energia. Alivia los sintomas de la gastritis acidez estomacal indigestion diarrea y ulceras gastricas.,Frasco con 60 caps,429,214.5,Tomar una cApsula por la mañana.,Menta Blanca Tlanchichinole Te verde Nopal Cancerina Tepezcohuite Vitamina B3.,1.- Te verde: Mejora la funcion Cerebral la perdida de grasa y disminuye el riesgo de padecer cancer. , 2.- Tepezcohuite: Se le atribuyen propiedades cicatrizantes. , 3.- Tlanchichinole: Tiene actividad antimicobacteriana y antiprotozoaria.,AGRURAS  GASTRITIS
INTENS-MN,Por su compuesto de nutrientes contiene muchas propiedades nutritivas y energeticas que pueden mejorar tu rendimiento fisico. Intens-Mn potencializa tu rendimiento fisico y mental asi tambien la energia y la resistencia a los efectos perjudiciales del estres y del envejecimiento. Intens-Mn tambien se emplea para aumentar el rendimiento sexual. Se le recomienda consumir a las personas que quieran mejorar su rendimiento fisico e incrementar el vigor sexual.,Frasco 30 caps softgel ,599,299.5,Tomar una capsula softgel por la mañana o por la noche.,Calcio de Coral VitaminaB3 Vitamina B2 Vitamina E Vitamina B6 Vitamina A Vitamina D3 Vitamina B1 Vitamina C Tribulus Ashwagandha Maca Zarzaparilla.,1.- Calcio de coral: Puede apoyar al fortalecimiento de huesos y musculos. , 2.- Maca: Propiedades energizantes y nutritivas gracias a su contenido en proteinas carbohidratos calcio fosforo yodo hierro Vitamina B y Vitamina C. , 3.- Zarzaparilla: Actua como expectorante diuretico depurativo y antiinflamatorio.,RENDIMIENTO SEXUAL MASCULINO
FTX PLUS,Las propiedades de este producto gracias a sus ingredientes ayudan en caso de osteosarcoma. Aumenta el nivel de calcio y flexibilidad. Previene artritis reumatoide y deformacion en los huesos evita rigidez en las articulacion dolor de espalda coyunturas y rodillas. Previene la osteoporosis y osteoartritis.,Frasco con 30 tabletas,529,264.5,Tomar una tableta al dia.,Vitamina C Potasio Vitamine E Calcio de Coral Vitamina D3 Cartilago de tiburon Encino Sauce blanco Guasimo.,1.- Cartilago de tiburon : Regenra los tendones evita la osteoporosis y regenera los huesos. , 2.- Calcio de Coral : Puede apoyar al fortalecimiento de huesos y musculos. , 3.- Guasimo : Contiene compuestos que podrian actuar como antioxidantes protegiendo las celulas del daño oxidativo.,ARTRITIS  CALAMBRES  CIATICA  DOLOR DE ESPALDA  DOLOR DE RODILLA  FIBROMIALGIA  FIEBRE REUMATICA  OSTEOMIELITIS  OSTEOPOROSIS  REUMATISMO  TRAUMATISMO 
LIVE + TE,Infusion soluble antioxidante y energetico que gracias a sus beneficios provee de energia evita la fatiga y el cansancio fisico emocional e intelectual. Amplia el rendimiento fisico. Favorece la oxigenacion celular haciendo que la circulacion sanguinea sea mAs eficaz.,Bolsa con 250gr,599,299.5,Disolver 5g en 250ml de agua fria o caliente tomarlo por la mañana o por la noche. No exceda la dosis recomendada.,Mangostan Goji Semilla de Uva Stevia Yerba Mate Te verde Rhodiola Noni Guarana Maca Zarzaparilla Vitamina C Vitamine E Vitamina B3 Vitamina B5 Vitamina B6 Vitamina B1 Vitamina A Vitamina D.,1.- Goji: Excelente antioxidante. Ayuda a regenerar celulas nuevas en nuestro cuerpo aumenta las defensas y aporta hierro y vitaminas. , 2.- Mangostan: Contiene vitaminas C y E asi como zinc que ayuda a fortalecer el sistema inmunologico. , 3.- Yerba Mate: Puede tener efectos antiinflamatorios.,DEPRESIoN  FALTA DE ERECCIoN  IMPOTENCIA 
MY MAHAL,Se enfoca en el sistema nervioso central. Se utiliza para combatir el insonimo los estados de excitacion nerviosa los disturbios nerviosos. Asi como dolores de cabeza insomnio tension muscular estres migraña previene taquicardia y depresion nerviosa ya que actua en el sistema nervioso sin ser un narcotico.,Bolsa con 250g Precio $489.00 Costo $294.50,489,244.5,Disolver 5g en 250 ml de agua fria o caliente tomarlo por la mañana o por la noche.,Vitaminas C B1B2 B3 B5 B6 y H Stevia Rhodiola Zacate limon Pasiflora Azhar Cedron y Acido glutamico.,1.- Tila: Relajante y somnifero tiene un efecto sedante en el sistema nervioso. Ayuda a quienes padecen nerviosismo insomnio y estres. , 2.- Cedron: Como tratamiento fitoterapeutico para aumentar la energia vital y equilibra el sistema nervioso. , 3.- Zacate Limon: Antiinflamatorio natural.,ALCOHOLISMO  DEPRESIoN  INSOMNIO  IRRITABILIDAD  MIGRAÑA  NERVIOSISMO  PARKINSON  VITILIGO
MY MAHAL CAPS,Disminuye la tension emocional estres ansiedad y nerviosismo. Mejora la calidad del sueño y combate problemas de insomnio. Regula el sistema nervioso ayuda en el control de la hipertension ansiedad.,Frasco con 60 cAps Precio $429.00 Costo $214.50,429,214.5,Tomar una capsula por la noche antes de dormir.,Tila Ashwagandha Pasiflora Lavanda Albahaca Vitamina C y Vitamina B3 Cedron.,1.- Cedron : Como tratamiento fitoterapeutico para aumentar la energia vital y equilibrar el sistema nervioso. , 2.- Albahaca: Ayuda a combatir el estres reduce los dolores de cabeza mejora la salud respiratoria la digestion y protege los riñones. , 3.- Pasiflora: Excelente remedio natural para combatir insomnio por su efecto sedante. AdemAs ayuda a aliviar la fatiga muscular migrañas y estados de ansiedad.,ALCOHOLISMO  DEPRESIoN  INSOMNIO  IRRITABILIDAD  MIGRAÑA  NERVIOSISMO  PARKINSON  VITILIGO
